sample_id,stage,cpu_shape,candidate_shape,cpu_dtype,candidate_dtype,status,abs_p50,abs_p90,abs_p95,abs_p99,abs_p999,abs_max,rel_p50,rel_p90,rel_p95,rel_p99,rel_p999,rel_max,abs_ev_p50,abs_ev_p90,abs_ev_p95,abs_ev_p99,abs_ev_p999,abs_ev_max,mae,rmse,max_signed_error,min_signed_error,luma_abs_p50,luma_abs_p90,luma_abs_p95,luma_abs_p99,luma_abs_p999,luma_abs_max,psnr,ssim,deltaE2000_mean,deltaE2000_p95,deltaE2000_max
IMG_4557,rgb_in,96x128x3,96x128x3,float64,float32,ok,2.0698884446723742e-10,1.8388938823055147e-09,3.6475604717200997e-09,1.06421932238865e-08,2.4410405149999773e-08,2.9668623668932526e-08,2.0586666765661976e-08,3.9934281954812343e-08,4.53278660098479e-08,5.3007013375454296e-08,5.752379086455664e-08,5.895392564052694e-08,2.9700254908950936e-08,5.761297138439741e-08,6.539411585151548e-08,7.647288888661014e-08,8.29892485670587e-08,8.505242584517746e-08,8.24383818109162e-10,2.1893161425951036e-09,2.9668623668932526e-08,-2.9601231577025544e-08,1.758948611763067e-10,1.5571138933800934e-09,2.8028865790841176e-09,7.128511927412207e-09,1.822193638190149e-08,2.532806453459102e-08,173.19383041441728,1.0000000000000004,2.374737102256353e-07,1.2121098748875207e-06,8.13460817327867e-06
IMG_4557,rgb_pre,96x128x3,96x128x3,float64,float32,ok,2.0698884446723742e-10,1.8388938823055147e-09,3.6475604717200997e-09,1.06421932238865e-08,2.4410405149999773e-08,2.9668623668932526e-08,2.0586666765661976e-08,3.9934281954812343e-08,4.53278660098479e-08,5.3007013375454296e-08,5.752379086455664e-08,5.895392564052694e-08,2.9700254908950936e-08,5.761297138439741e-08,6.539411585151548e-08,7.647288888661014e-08,8.29892485670587e-08,8.505242584517746e-08,8.24383818109162e-10,2.1893161425951036e-09,2.9668623668932526e-08,-2.9601231577025544e-08,1.758948611763067e-10,1.5571138933800934e-09,2.8028865790841176e-09,7.128511927412207e-09,1.822193638190149e-08,2.532806453459102e-08,173.19383041441728,1.0000000000000004,2.374737102256353e-07,1.2121098748875207e-06,8.13460817327867e-06
IMG_4557,log_e_film,96x128x3,96x128x3,float64,float32,ok,7.156165937605152e-08,1.8468598919074708e-07,2.2507183026210242e-07,3.108511776339641e-07,4.1499924305222626e-07,9.51094024426169e-07,6.791344974587384e-08,2.531833188978696e-07,4.866319503197198e-07,2.6038714199954237e-06,3.032727120631395e-05,0.004466988763318772,0.0,0.0,3.850384624596447e-08,1.915596605523064e-06,1.5877506468315807e-05,0.006421397253388741,8.783392285545509e-08,1.1276821327375548e-07,9.51094024426169e-07,-7.741869869626328e-07,4.019053390091898e-08,1.0050714853715453e-07,1.2053687905577704e-07,1.6486644316415777e-07,2.1496864002791335e-07,2.612826164316573e-07,153.2796946338202,0.9999999999998702,9.225093817143516e-07,6.2068084750013976e-06,8.682156848136763e-05
IMG_4557,cmy_film,96x128x3,96x128x3,float64,float32,ok,2.5076134779755677e-08,1.0702870982537416e-07,1.3910990372401065e-07,2.04319758592142e-07,2.936379882579336e-07,5.144515502486513e-07,2.441623656870858e-07,7.707759146673003e-07,9.7874607818791e-07,1.4364387241985574e-06,2.0901031963018896e-06,7.131988373476083e-06,3.5225167305303985e-07,1.1119939194614315e-06,1.4120321178356627e-06,2.0723423021986487e-06,3.0153819964197013e-06,1.0289148047814936e-05,4.2224556179878464e-08,6.282273079158825e-08,5.144515502486513e-07,-3.9827607239972806e-07,1.873186704359764e-08,6.911646132645726e-08,8.772302509951757e-08,1.2530430638757448e-07,1.624831425373069e-07,2.2376794972522873e-07,144.14371285249186,0.9999999999999027,1.0044998558387618e-05,2.777103101525919e-05,6.856996852877099e-05
IMG_4557,log_e_print,96x128x3,96x128x3,float64,float32,ok,3.274232241792796e-06,1.5169690554317501e-05,2.058668666335417e-05,2.181889504215828e-05,2.2132032742114173e-05,2.327779307836897e-05,6.667881469043055e-06,2.697197308652627e-05,3.590842230297482e-05,0.0001997604356846422,0.0028560086557240377,0.0374483892266251,7.952958441986918e-06,3.745134787704274e-05,4.0079048525994204e-05,0.0001415750641952956,0.0020254204931012343,0.029877113411949714,5.391739974211503e-06,7.976089845161179e-06,2.2413411130517424e-05,-2.327779307836897e-05,4.243667170167331e-06,1.3410808949232418e-05,1.5151618493813855e-05,1.5557969904600455e-05,1.5726262201058793e-05,1.708476029349537e-05,101.99682531237796,0.9999999986342744,0.001376391099651145,0.003660820778751527,0.005081334850601189
IMG_4557,cmy_print,96x128x3,96x128x3,float64,float32,ok,2.3172550709382733e-06,1.1051944818929474e-05,1.646499802098189e-05,2.37836314637119e-05,3.1740703573122476e-05,6.2222017457092e-05,1.1399745868407668e-06,9.546028309341282e-06,1.5928257929140818e-05,2.4208237967562504e-05,3.80401634239647e-05,5.3424981334791804e-05,1.6446347390241644e-06,1.377207328966553e-05,2.2979490390754776e-05,3.4925213521474666e-05,5.4881109085054275e-05,7.707389064035189e-05,3.873828416566919e-06,6.567058875317387e-06,3.580333024055804e-05,-6.2222017457092e-05,3.344101104918451e-06,1.0046010615438751e-05,1.3359652401956353e-05,1.9281747364690016e-05,2.6979667915224248e-05,4.365118520111011e-05,111.31330854947613,0.9999999993045064,0.00014279957559071372,0.0011063784701511629,0.007244020723365148
IMG_4557,rgb_out,96x128x3,96x128x3,float64,float32,ok,2.5880841602737847e-06,8.640674037144191e-06,9.517695314922854e-06,2.5403698300785482e-05,6.239346230845188e-05,8.136350757714794e-05,2.9500064328054736e-05,0.00011857790593607454,0.00012395469363709892,0.0001289533678053577,0.00022893770984928327,0.0010395133419507493,4.255959299510864e-05,0.00017106159042119034,0.00017881771374062675,0.00018602836330221047,0.0003303250976708902,0.001500479966996516,3.977346871665711e-06,6.613156447987857e-06,8.136350757714794e-05,-6.3071600630904e-05,4.1848854560530557e-07,3.9980821397202215e-06,6.141559060068857e-06,1.077938628096352e-05,1.9412206459160592e-05,2.661984167662279e-05,103.59182406068177,0.9999999970238876,0.0013277099524974401,0.00273717205023482,0.020652560101072758
IMG_4557,materialized_rgb_out,96x128x3,96x128x3,float64,float32,ok,2.5880841602737847e-06,8.640674037144191e-06,9.517695314922854e-06,2.5403698300785482e-05,6.239346230845188e-05,8.136350757714794e-05,2.9500064328054736e-05,0.00011857790593607454,0.00012395469363709892,0.0001289533678053577,0.00022893770984928327,0.0010395133419507493,4.255959299510864e-05,0.00017106159042119034,0.00017881771374062675,0.00018602836330221047,0.0003303250976708902,0.001500479966996516,3.977346871665711e-06,6.613156447987857e-06,8.136350757714794e-05,-6.3071600630904e-05,4.1848854560530557e-07,3.9980821397202215e-06,6.141559060068857e-06,1.077938628096352e-05,1.9412206459160592e-05,2.661984167662279e-05,103.59182406068177,0.9999999970238876,0.0013277099524974401,0.00273717205023482,0.020652560101072758
IMG_4557,export_png16_roundtrip,96x128x3,96x128x3,float32,float32,ok,0.0,1.52587890625e-05,1.52587890625e-05,3.0517578125e-05,6.103515625e-05,9.1552734375e-05,0.0,0.00021833728270083218,0.000219535626408678,0.0003865975205607725,0.000398083097708505,0.0008676657250008049,0.0,0.000314959687456105,0.0003166881530606903,0.0005578500230667116,0.0005744267034330099,0.0012523200587491227,3.981993965377721e-06,8.656484280313506e-06,9.1552734375e-05,-6.10649585723877e-05,3.2440185546711575e-06,1.0913085937494515e-05,1.0913085937508393e-05,1.4157104492207306e-05,2.1826171875000856e-05,3.067626953134894e-05,101.25316910578377,0.9999999883489793,0.0015096160014229263,0.004025768144720986,0.019047567272510564
IMG_0342_converted,rgb_in,96x128x3,96x128x3,float64,float32,ok,6.209080125052502e-10,1.8477308502684586e-09,3.113255554049176e-09,7.391832814174229e-09,2.5511670034284024e-08,2.9604314999431836e-08,2.0923433285244063e-08,4.072586339007676e-08,4.595688554453548e-08,5.302321407888772e-08,5.7729212495228634e-08,5.923622463701648e-08,3.0186125154636525e-08,5.875498602133526e-08,6.630173463339486e-08,7.649630675309228e-08,8.32855991415529e-08,8.545975553297077e-08,1.036095207628794e-09,2.107126199521551e-09,2.9558226977144386e-08,-2.9604314999431836e-08,4.615506726812768e-10,1.4901088085661502e-09,2.211635889010077e-09,5.6413936450061415e-09,1.985234677248798e-08,2.6333223268615313e-08,173.5261890589388,0.9999999999999977,3.0506244157181216e-07,1.0779361857466457e-06,8.898051714012977e-06
