scene_y,rolled_y,blend_w,target_y,look_y
0.0100,0.0100,0.0000,0.0100,0.0100
0.1800,0.1800,0.0000,0.1800,0.1800
0.5000,0.5000,0.0000,0.6056,0.5000
0.7500,0.7500,0.0000,1.2325,0.7500
1.0000,1.0000,0.0000,1.4308,0.8000
1.1000,1.0999,0.0068,1.4308,0.8000
1.2500,1.2481,0.0347,1.4308,0.8000
1.5000,1.4859,0.1033,1.4365,0.8000
2.0000,1.9119,0.2500,1.5511,0.8000
3.0000,2.5939,0.4443,1.9476,0.8000
4.0000,3.1291,0.5000,2.2800,0.8000
8.0000,4.5091,0.5000,2.9700,0.8000
16.0000,5.7746,0.5000,3.6027,0.8000
32.0000,6.7108,0.5000,4.0708,0.8000
64.0000,7.3000,0.5000,4.3654,0.8000
